N;Kernel;Method;Setting;Time;MEM;Iterations;AUC
32000;Poly2D;RLScore;Setting 1;1.8092577469942626;0.009126396;18;0.7262652440708373
32000;Poly2D;Kernel;Setting 1;9909.877044754001;8.195735065;18;0.7262652421187383
32000;Poly2D;RLScore;Setting 2;1.8626606510079;0.009127324;19;0.7010244887995236
32000;Poly2D;Kernel;Setting 2;9813.75816384601;8.195735089;19;0.7010243690859056
32000;Poly2D;RLScore;Setting 3;1.0005427620053524;0.009127324;9;0.7017476555075921
32000;Poly2D;Kernel;Setting 3;9768.388711876003;8.195735089;9;0.7017470524641864
32000;Poly2D;RLScore;Setting 4;0.7687262749968795;0.009127324;8;0.6834844794233945
32000;Poly2D;Kernel;Setting 4;9604.591069781993;8.195735089;8;0.6834845048537233
32000;Kronecker;RLScore;Setting 1;0.7051920119993156;0.005535924;18;0.7247484064951981
32000;Kronecker;Kernel;Setting 1;4692.176184878001;8.195735089;18;0.724748402591
32000;Kronecker;RLScore;Setting 2;0.2616388220048975;0.005534299;7;0.6975566046370505
32000;Kronecker;Kernel;Setting 2;4762.248963302991;8.195735089;7;0.6975566042086081
32000;Kronecker;RLScore;Setting 3;0.2823543440026697;0.005534354;8;0.6975586267031835
32000;Kronecker;Kernel;Setting 3;4653.807403057988;8.195735065;8;0.6975586789943768
32000;Kronecker;RLScore;Setting 4;0.10584103301516734;0.005531294;3;0.6711954867574195
32000;Kronecker;Kernel;Setting 4;4646.243756650976;8.195735177;3;0.6711954867574195
32000;Symmetric;RLScore;Setting 1;1.0294869570061564;0.007585364;16;0.7291563690160945
32000;Symmetric;Kernel;Setting 1;9671.64656313599;8.195735065;16;0.7291563869100195
32000;Symmetric;RLScore;Setting 2;3.2155852430150844;0.0075853;46;0.6871591123166262
32000;Symmetric;Kernel;Setting 2;9438.471947981976;8.195735089;46;0.6873790542527551
32000;Symmetric;RLScore;Setting 3;1.5378181150008459;0.0075853;26;0.6927351175849423
32000;Symmetric;Kernel;Setting 3;9403.854732339998;8.195735065;26;0.6927253091036907
32000;Symmetric;RLScore;Setting 4;0.22358147500199266;0.007581498;3;0.6714315303314256
32000;Symmetric;Kernel;Setting 4;9655.394835911022;8.195735065;3;0.6714315299181375
32000;MLPK;RLScore;Setting 1;31.315104515000712;0.019919284;114;0.7473135163479676
32000;MLPK;Kernel;Setting 1;10376.815961070999;8.195735241;114;0.747537251461146
32000;MLPK;RLScore;Setting 2;33.229694642999675;0.019918644;111;0.6139466315802418
32000;MLPK;Kernel;Setting 2;10265.393426781986;8.195735113;111;0.6137389023992836
32000;MLPK;RLScore;Setting 3;36.65277109100134;0.019918644;139;0.6092001423182531
32000;MLPK;Kernel;Setting 3;10370.918586886983;8.195735113;139;0.6090932739622315
32000;MLPK;RLScore;Setting 4;11.895264716993552;0.019919132;39;0.5630553440668224
32000;MLPK;Kernel;Setting 4;10190.341296259983;8.195735089;39;0.5631747663129522
64000;Linear;RLScore;Setting 1;7.2871429059887305;0.015021532;49;0.6716914984070411
64000;Linear;RLScore;Setting 2;0.931391304009594;0.015012332;6;0.6459886603472313
64000;Linear;RLScore;Setting 3;1.2686669579998124;0.015016964;8;0.644422953319467
64000;Linear;RLScore;Setting 4;0.49250562698580325;0.015012308;3;0.6396860099178023
64000;Poly2D;RLScore;Setting 1;6.719201191997854;0.018092788;30;0.7288440975180162
64000;Poly2D;RLScore;Setting 2;6.941544396977406;0.018097404;31;0.7075191587860872
64000;Poly2D;RLScore;Setting 3;3.618138760997681;0.018097404;16;0.706087105109479
64000;Poly2D;RLScore;Setting 4;1.8412164149922319;0.018097404;8;0.6824197026719144
64000;Kronecker;RLScore;Setting 1;3.43202960700728;0.010917044;40;0.7299201873764303
64000;Kronecker;RLScore;Setting 2;1.732862920005573;0.010916356;21;0.704379790459812
64000;Kronecker;RLScore;Setting 3;1.7166700119851157;0.010916356;21;0.7032328875991601
64000;Kronecker;RLScore;Setting 4;1.0792290850076824;0.01091462;11;0.6895173416647695
64000;Symmetric;RLScore;Setting 1;5.166959430003772;0.015016964;35;0.7412374990113831
64000;Symmetric;RLScore;Setting 2;4.9428273439989425;0.015016972;32;0.7020077321642282
64000;Symmetric;RLScore;Setting 3;4.686796360008884;0.015020588;31;0.7037504226127307
64000;Symmetric;RLScore;Setting 4;1.4871033619856462;0.0150169;10;0.6900772537690626
64000;MLPK;RLScore;Setting 1;134.30917126100394;0.039658724;190;0.7592788951874218
64000;MLPK;RLScore;Setting 2;103.78515735801193;0.039658724;140;0.6163323091992268
64000;MLPK;RLScore;Setting 3;94.97156083400478;0.039658724;134;0.617694201085589
64000;MLPK;RLScore;Setting 4;32.0241734420124;0.039658724;45;0.573358872299297
128000;Linear;RLScore;Setting 1;24.927410545002203;0.02987174;58;0.6875527455276084
128000;Linear;RLScore;Setting 2;6.990590111003257;0.02985882;16;0.6553600062340271
128000;Linear;RLScore;Setting 3;6.9014618060027715;0.02985882;16;0.6555360755509534
128000;Linear;RLScore;Setting 4;1.839926827000454;0.02985882;4;0.63948238740423
